id,time_baca,time_blatchington,time_cardinal_n,time_ds,time_hove_park,time_kings,time_longhill,time_paca,time_patcham,time_varndean,first_closest_travel,second_closest_travel,third_closest_travel,first_closest_time,second_closest_time,third_closest_time,max_travel,min_travel,avg_travel,geometry,long,lat
BN1 1HE,36,47,29,36,37,53,46,42,40,31,cardinal_n,varndean,baca,29,31,36,53,29,39.7,"c(-0.141243, 50.821367)",-0.141243,50.821367
BN1 1HF,37,49,32,37,39,56,47,47,41,32,cardinal_n,varndean,baca,32,32,37,56,32,41.7,"c(-0.140849, 50.821274)",-0.140849,50.821274
BN1 1HG,35,48,30,34,38,54,45,44,38,30,cardinal_n,varndean,ds,30,30,34,54,30,39.6,"c(-0.139682, 50.820995)",-0.139682,50.820995
BN1 1HH,35,48,30,34,38,54,45,44,38,30,cardinal_n,varndean,ds,30,30,34,54,30,39.6,"c(-0.139763, 50.82146)",-0.139763,50.82146
BN1 1HJ,36,48,31,36,38,55,45,46,40,31,cardinal_n,varndean,baca,31,31,36,55,31,40.6,"c(-0.139839, 50.821686)",-0.139839,50.821686
BN1 1HL,34,48,30,33,38,55,43,44,36,29,varndean,cardinal_n,ds,29,30,33,55,29,39,"c(-0.139266, 50.821465)",-0.139266,50.821465
BN1 1HN,34,48,30,33,38,55,43,44,36,29,varndean,cardinal_n,ds,29,30,33,55,29,39,"c(-0.138895, 50.821132)",-0.138895,50.821132
BN1 1HP,36,49,32,36,39,56,46,47,40,31,varndean,cardinal_n,baca,31,32,36,56,31,41.2,"c(-0.139383, 50.820285)",-0.139383,50.820285
BN1 1HQ,35,49,31,35,39,56,45,47,38,30,varndean,cardinal_n,baca,30,31,35,56,30,40.5,"c(-0.139095, 50.820397)",-0.139095,50.820397
BN1 1HR,35,48,30,34,38,54,45,44,38,30,cardinal_n,varndean,ds,30,30,34,54,30,39.6,"c(-0.139708, 50.821037)",-0.139708,50.821037
BN1 1HS,34,49,31,33,39,56,45,46,36,29,varndean,cardinal_n,ds,29,31,33,56,29,39.8,"c(-0.138898, 50.820703)",-0.138898,50.820703
BN1 1HT,36,49,32,36,39,56,46,47,40,31,varndean,cardinal_n,baca,31,32,36,56,31,41.2,"c(-0.139569, 50.820264)",-0.139569,50.820264
BN1 1HU,34,49,31,33,39,56,45,47,36,29,varndean,cardinal_n,ds,29,31,33,56,29,39.9,"c(-0.138824, 50.820789)",-0.138824,50.820789
BN1 1HW,38,51,33,38,40,58,48,48,42,33,cardinal_n,varndean,baca,33,33,38,58,33,42.9,"c(-0.140615, 50.821456)",-0.140615,50.821456
BN1 1HX,36,45,28,35,36,51,46,41,39,31,cardinal_n,varndean,ds,28,31,35,51,28,38.8,"c(-0.140647, 50.822778)",-0.140647,50.822778
BN1 1HY,36,47,29,36,37,52,46,42,40,31,cardinal_n,varndean,baca,29,31,36,52,29,39.6,"c(-0.141102, 50.821689)",-0.141102,50.821689
BN1 1HZ,36,45,28,35,36,51,46,41,39,31,cardinal_n,varndean,ds,28,31,35,51,28,38.8,"c(-0.140662, 50.82277)",-0.140662,50.82277
BN1 1JA,36,48,30,35,38,54,45,44,39,30,cardinal_n,varndean,ds,30,30,35,54,30,39.9,"c(-0.140029, 50.820835)",-0.140029,50.820835
BN1 1JB,37,49,28,37,38,55,59,47,40,32,cardinal_n,varndean,baca,28,32,37,59,28,42.2,"c(-0.140818, 50.826334)",-0.140818,50.826334
BN1 1JD,37,49,28,37,38,55,59,47,40,32,cardinal_n,varndean,baca,28,32,37,59,28,42.2,"c(-0.140818, 50.826334)",-0.140818,50.826334
BN1 1JE,36,48,31,36,38,55,46,46,40,31,cardinal_n,varndean,baca,31,31,36,55,31,40.7,"c(-0.140979, 50.820859)",-0.140979,50.820859
BN1 1JF,36,48,30,36,38,55,46,44,40,31,cardinal_n,varndean,baca,30,31,36,55,30,40.4,"c(-0.14019, 50.820712)",-0.14019,50.820712
BN1 1JG,39,48,30,38,38,55,48,46,43,33,cardinal_n,varndean,ds,30,33,38,55,30,41.8,"c(-0.142679, 50.8213)",-0.142679,50.8213
BN1 1JH,38,48,31,38,38,54,48,44,42,33,cardinal_n,varndean,baca,31,33,38,54,31,41.4,"c(-0.141609, 50.820734)",-0.141609,50.820734
BN1 1JJ,37,47,29,36,37,53,46,43,41,31,cardinal_n,varndean,ds,29,31,36,53,29,40,"c(-0.141407, 50.821531)",-0.141407,50.821531
BN1 1JL,38,47,29,37,37,53,48,43,41,32,cardinal_n,varndean,ds,29,32,37,53,29,40.5,"c(-0.140481, 50.823756)",-0.140481,50.823756
BN1 1JN,36,48,31,36,38,55,46,46,40,31,cardinal_n,varndean,baca,31,31,36,55,31,40.7,"c(-0.140979, 50.820859)",-0.140979,50.820859
BN1 1JP,37,49,28,37,38,55,59,47,40,32,cardinal_n,varndean,baca,28,32,37,59,28,42.2,"c(-0.140818, 50.826334)",-0.140818,50.826334
BN1 1JQ,35,48,30,34,38,54,45,44,38,30,cardinal_n,varndean,ds,30,30,34,54,30,39.6,"c(-0.13971, 50.820992)",-0.13971,50.820992
BN1 1JR,37,49,28,37,38,55,59,47,40,32,cardinal_n,varndean,baca,28,32,37,59,28,42.2,"c(-0.140818, 50.826334)",-0.140818,50.826334
BN1 1JS,37,51,33,36,40,58,46,47,41,31,varndean,cardinal_n,ds,31,33,36,58,31,42,"c(-0.139994, 50.820268)",-0.139994,50.820268
BN1 1JT,34,48,30,33,38,55,43,44,36,29,varndean,cardinal_n,ds,29,30,33,55,29,39,"c(-0.13897, 50.821034)",-0.13897,50.821034
BN1 1JU,37,53,33,36,42,59,45,48,40,31,varndean,cardinal_n,ds,31,33,36,59,31,42.4,"c(-0.138883, 50.819666)",-0.138883,50.819666
BN1 1JW,36,48,30,35,38,54,45,44,39,30,cardinal_n,varndean,ds,30,30,35,54,30,39.9,"c(-0.140029, 50.820835)",-0.140029,50.820835
BN1 1JX,36,48,30,35,38,54,45,44,39,30,cardinal_n,varndean,ds,30,30,35,54,30,39.9,"c(-0.140001, 50.82082)",-0.140001,50.82082
BN1 1JY,36,43,28,35,34,50,46,41,39,31,cardinal_n,varndean,hove_park,28,31,34,50,28,38.3,"c(-0.140564, 50.822741)",-0.140564,50.822741
BN1 1JZ,37,49,28,37,38,55,59,47,40,32,cardinal_n,varndean,baca,28,32,37,59,28,42.2,"c(-0.140818, 50.826334)",-0.140818,50.826334
BN1 1LA,37,49,28,37,38,55,59,47,40,32,cardinal_n,varndean,baca,28,32,37,59,28,42.2,"c(-0.140818, 50.826334)",-0.140818,50.826334
BN1 1LB,37,49,28,37,38,55,59,47,40,32,cardinal_n,varndean,baca,28,32,37,59,28,42.2,"c(-0.140818, 50.826334)",-0.140818,50.826334
BN1 1LD,37,49,28,37,38,55,59,47,40,32,cardinal_n,varndean,baca,28,32,37,59,28,42.2,"c(-0.140818, 50.826334)",-0.140818,50.826334
BN1 1LE,36,48,30,36,38,55,46,44,40,31,cardinal_n,varndean,baca,30,31,36,55,30,40.4,"c(-0.14019, 50.820712)",-0.14019,50.820712
